Company,TypeName,Inches,ScreenResolution,Ram(GB),OpSys,Weight(kg),Price_euros,HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
2,2,14.0,1,4,1,1.63,722.0,500,0,0,1,111.94,33,1
5,1,13.3,4,8,1,1.21,1629.0,0,256,0,1,165.63,33,1
2,5,13.3,4,8,1,1.26,1398.99,0,256,1,1,165.63,33,1
2,2,14.0,4,8,1,1.63,1084.0,0,512,0,0,157.35,34,1
5,2,15.6,4,8,1,2.16,1130.33,1000,256,0,1,141.21,34,2
4,2,17.3,4,4,1,2.0,564.0,1000,0,0,0,127.34,32,2
4,2,15.6,4,8,1,1.7,1118.0,0,256,0,0,141.21,34,2
3,2,15.6,4,6,1,2.1,479.0,1000,0,1,1,141.21,32,1
8,4,15.6,4,16,1,1.8,2241.5,2000,256,0,0,141.21,34,2
6,2,15.6,4,8,4,2.2,629.0,0,256,0,0,141.21,33,2
2,2,17.3,4,16,1,2.5,1271.0,0,512,0,0,127.34,34,2
3,2,15.6,1,4,1,2.1,451.0,0,256,0,0,100.45,11,0
2,2,15.6,1,4,4,1.86,259.0,500,0,0,0,100.45,29,1
2,2,14.0,4,8,1,1.63,812.0,1000,0,0,0,157.35,33,1
4,2,14.0,1,4,1,1.65,277.99,0,64,0,0,111.94,13,0
5,2,17.3,4,16,1,2.8,1396.0,2000,256,0,0,127.34,34,0
2,2,17.3,4,8,1,2.5,928.0,0,256,0,0,127.34,33,1
5,2,15.6,1,8,1,2.36,638.99,1000,0,0,0,100.45,33,0
5,2,15.6,4,4,1,2.2,449.0,1000,0,0,0,141.21,32,0
3,1,14.0,4,8,1,1.6,884.0,0,256,0,1,157.35,34,1
3,2,15.6,4,4,1,2.2,572.0,0,256,0,0,141.21,32,2
2,2,15.6,1,8,1,2.05,598.0,1000,0,0,0,100.45,34,1
2,2,14.0,4,8,1,1.63,988.0,0,256,0,0,157.35,34,1
6,2,15.6,1,4,4,1.9,252.36,1000,0,0,0,100.45,29,1
4,4,17.3,4,8,1,3.0,938.0,1000,128,0,0,127.34,33,2
6,2,15.6,4,4,4,2.2,499.0,1000,0,0,0,141.21,33,2
2,2,13.3,4,4,1,1.32,699.0,0,256,0,1,165.63,33,1
3,2,17.3,4,4,1,3.0,655.0,1000,0,0,1,127.34,32,2
6,2,14.0,4,8,1,1.75,1116.02,0,256,0,1,157.35,33,0
6,4,15.6,4,8,4,2.4,869.0,0,256,0,1,141.21,34,2
10,2,15.6,1,4,1,2.1,602.0,500,0,0,0,100.45,33,1
2,2,15.6,1,4,1,1.86,369.0,0,256,0,0,100.45,7,0
4,1,14.0,4,8,1,1.25,1099.0,0,256,0,0,157.35,34,1
2,1,12.5,15,8,1,0.97,2014.0,0,512,1,1,352.47,31,1
4,2,15.6,4,4,1,2.0,344.0,1000,0,0,0,141.21,29,1
8,4,17.3,4,16,1,2.9,2029.0,1000,256,0,0,127.34,34,2
3,2,15.6,1,4,1,2.1,447.0,1000,0,0,0,100.45,32,1
5,4,15.6,4,16,1,2.56,1249.26,0,512,0,0,141.21,34,2
5,4,15.6,4,8,1,2.62,899.0,0,0,0,0,141.21,34,2
6,2,15.6,1,4,1,1.9,498.0,0,128,0,0,100.45,33,1
8,4,17.3,4,16,1,2.8,1890.0,1000,256,0,0,127.34,34,2
2,1,14.0,4,4,1,1.48,1082.0,0,256,0,0,157.35,33,1
2,2,15.6,4,6,1,1.91,619.0,0,256,0,0,141.21,33,0
6,5,14.0,4,4,1,1.74,629.0,0,256,1,1,157.35,32,1
4,5,13.3,4,8,1,1.1,1315.0,0,256,1,0,165.63,33,1
5,5,15.6,4,8,1,1.56,1049.0,0,256,1,0,141.21,34,1
10,2,15.6,1,4,1,2.1,447.0,500,0,0,0,100.45,32,1
4,2,15.6,1,4,1,2.03,403.0,1000,0,0,0,100.45,11,0
3,2,17.3,4,4,1,3.0,805.0,0,256,0,1,127.34,33,2
5,2,15.6,4,8,1,2.13,728.0,0,256,0,0,141.21,33,0
6,4,15.6,4,16,1,2.5,1079.0,0,256,0,1,141.21,34,2
3,2,15.6,1,4,1,2.1,348.0,1000,0,0,0,100.45,29,1
8,4,15.6,4,16,1,2.4,1799.0,1000,256,0,1,141.21,34,2
3,2,15.6,1,4,1,2.1,363.51,1000,0,0,0,100.45,36,1
5,4,15.6,4,8,1,2.56,1060.49,1000,128,0,0,141.21,34,2
