Company,TypeName,ScreenResolution,Ram(GB),OpSys,Weight(kg),HDD,SSD,TouchScreen,IPS,PPI,CpuName,GpuBrand
2,2,4,4,1,1.49,500,0,0,1,165.63,33,1
1,1,11,8,2,1.37,0,512,0,1,226.98,33,1
5,5,4,8,1,2.08,1000,0,1,1,141.21,34,1
4,4,4,16,1,4.3,1000,256,0,0,127.34,34,2
4,2,1,4,1,1.68,1000,0,0,0,100.45,11,0
6,5,4,8,1,1.37,0,512,1,1,158.48,34,1
3,2,4,4,1,3.0,0,256,0,1,127.34,32,2
5,1,4,8,1,1.41,0,256,0,0,165.63,33,1
2,2,1,8,1,1.91,0,128,0,0,100.45,8,0
2,2,4,16,1,2.9,1000,0,0,1,127.34,34,2
8,4,4,16,1,4.14,1000,512,0,0,127.34,34,2
6,5,4,8,1,2.0,0,512,1,1,141.21,34,2
5,2,4,8,1,2.8,1000,128,0,0,127.34,34,0
6,2,4,4,4,2.2,0,256,0,0,141.21,32,1
2,2,4,4,1,2.1,500,0,0,1,141.21,33,1
5,2,4,4,1,2.18,1000,0,0,0,141.21,33,1
5,2,4,8,1,2.24,1000,0,0,0,141.21,33,0
5,5,4,8,1,2.67,0,256,1,0,141.21,33,1
4,5,4,8,1,1.1,0,1024,1,0,165.63,34,1
6,2,4,4,4,2.2,1000,0,0,0,141.21,33,1
2,2,4,8,1,2.5,1000,0,0,0,127.34,34,2
6,2,4,8,1,2.05,0,256,0,0,141.21,34,1
1,1,11,8,2,1.37,0,512,0,1,226.98,33,1
4,4,4,16,1,3.2,1000,256,0,0,127.34,23,0
5,2,4,8,3,2.14,0,256,0,0,141.21,34,0
6,5,9,16,1,1.36,0,512,1,0,209.8,34,1
10,2,1,8,1,2.2,500,0,0,0,100.45,34,2
5,2,1,12,1,2.3,1000,0,0,0,100.45,34,1
5,2,4,8,3,2.8,1000,128,0,0,127.34,34,0
3,2,4,8,1,2.2,1000,0,0,1,141.21,34,2
6,2,3,4,1,2.8,1000,0,0,0,106.11,32,1
6,2,4,8,4,2.8,2000,0,0,0,127.34,34,2
6,2,3,6,1,2.8,1000,128,0,0,106.11,34,2
5,2,4,4,3,2.25,1000,0,0,0,141.21,32,0
6,4,4,8,1,2.5,0,256,0,1,141.21,33,2
6,2,4,6,1,2.2,0,256,0,0,141.21,33,1
3,2,4,8,1,3.0,0,256,0,1,141.21,34,2
3,2,4,12,1,2.15,1000,0,1,1,141.21,34,1
6,2,4,8,1,1.95,0,256,0,1,141.21,34,1
4,1,4,8,1,1.7,0,256,0,0,141.21,33,2
6,4,4,16,1,2.5,1000,256,0,1,141.21,34,2
6,2,4,8,4,2.2,1000,0,0,0,141.21,34,2
3,2,1,2,4,2.19,0,16,0,0,100.45,29,1
4,4,4,8,1,3.0,1000,0,0,0,127.34,34,2
2,2,3,8,1,2.54,1000,0,0,0,106.11,32,1
5,2,4,8,1,2.0,0,256,0,0,141.21,34,2
6,2,4,8,1,2.05,0,256,0,0,141.21,33,1
6,4,4,8,1,3.2,1000,0,0,1,141.21,34,2
3,2,4,8,3,2.5,0,256,0,0,141.21,34,2
5,6,4,16,1,3.42,0,256,0,0,127.34,34,2
6,2,4,6,1,2.4,1000,0,0,0,141.21,0,0
4,1,4,16,1,1.63,0,512,0,0,141.21,34,2
4,2,1,4,1,1.3,0,128,0,0,111.94,32,1
4,4,4,16,1,2.9,1000,256,0,0,127.34,34,2
6,2,3,6,1,2.8,1000,0,0,0,106.11,33,2
6,2,1,8,4,2.2,2000,0,0,0,100.45,33,2
4,4,4,8,1,2.5,1000,128,0,0,141.21,34,2
6,2,1,4,4,2.2,1000,0,0,0,100.45,36,1
2,5,4,16,1,1.28,0,256,1,0,165.63,34,1
10,2,4,8,1,2.2,0,256,0,1,141.21,34,2
6,2,4,8,1,2.3,1000,128,0,0,141.21,33,2
2,2,4,4,1,1.86,1000,0,0,0,141.21,32,1
6,2,4,8,1,1.1,0,256,0,1,165.63,33,1
5,1,15,16,1,1.21,0,1000,1,1,331.26,34,1
8,4,4,16,1,2.8,1000,256,0,1,141.21,34,2
3,2,4,8,1,2.23,0,256,0,0,141.21,9,0
4,5,1,2,1,1.1,0,0,1,0,135.09,29,1
5,2,4,8,1,2.33,1000,128,0,0,141.21,33,0
2,5,15,16,1,1.29,0,1000,1,1,331.26,34,1
6,2,1,4,4,1.45,0,0,0,0,117.83,29,1
2,2,4,8,1,1.95,0,256,0,0,157.35,33,1
3,2,1,4,1,1.4,0,0,0,0,135.09,36,1
2,2,4,8,1,1.48,0,256,0,0,157.35,34,1
6,2,3,4,1,2.79,1000,0,0,0,106.11,33,2
